gene_id,pep_id,contig,start,end,pred_score
gene:BU24DRAFT_416053,gene:BU24DRAFT_416053,ML978066,774,2306,0.00095611287
gene:BU24DRAFT_445593,gene:BU24DRAFT_445593,ML978066,9625,11341,0.00019223
gene:BU24DRAFT_360743,gene:BU24DRAFT_360743,ML978066,13342,14862,8.503715e-05
gene:BU24DRAFT_360745,gene:BU24DRAFT_360745,ML978066,15702,17711,5.8184458e-05
gene:BU24DRAFT_469135,gene:BU24DRAFT_469135,ML978066,17732,19365,4.528751e-05
gene:BU24DRAFT_403463,gene:BU24DRAFT_403463,ML978066,20584,21846,5.956718e-05
gene:BU24DRAFT_469138,gene:BU24DRAFT_469138,ML978066,22952,24294,0.00025996464
gene:BU24DRAFT_416056,gene:BU24DRAFT_416056,ML978066,24417,25933,0.00050276774
gene:BU24DRAFT_445598,gene:BU24DRAFT_445598,ML978066,26222,27556,0.0001754325
gene:BU24DRAFT_429519,gene:BU24DRAFT_429519,ML978066,28503,30152,5.1630348e-05
gene:BU24DRAFT_127,gene:BU24DRAFT_127,ML978066,31625,32522,7.502235e-05
gene:BU24DRAFT_437989,gene:BU24DRAFT_437989,ML978066,33180,34529,0.00012228801
gene:BU24DRAFT_469144,gene:BU24DRAFT_469144,ML978066,35511,37753,9.308082e-05
gene:BU24DRAFT_360763,gene:BU24DRAFT_360763,ML978066,38591,40065,0.00014941665
gene:BU24DRAFT_416061,gene:BU24DRAFT_416061,ML978066,41389,42889,0.00043652087
gene:BU24DRAFT_416062,gene:BU24DRAFT_416062,ML978066,43298,44214,0.00071217946
gene:BU24DRAFT_416063,gene:BU24DRAFT_416063,ML978066,47994,50259,0.0008379871
gene:BU24DRAFT_205,gene:BU24DRAFT_205,ML978066,55582,57345,0.001001462
gene:BU24DRAFT_187,gene:BU24DRAFT_187,ML978066,57346,58163,0.0007884083
gene:BU24DRAFT_188,gene:BU24DRAFT_188,ML978066,58164,60002,0.00079389935
gene:BU24DRAFT_339661,gene:BU24DRAFT_339661,ML978066,60778,61608,0.00064648746
gene:BU24DRAFT_469146,gene:BU24DRAFT_469146,ML978066,66434,67156,0.00018511771
gene:BU24DRAFT_416067,gene:BU24DRAFT_416067,ML978066,68469,70175,0.00014382534
gene:BU24DRAFT_316530,gene:BU24DRAFT_316530,ML978066,70562,71332,0.00017532126
gene:BU24DRAFT_416069,gene:BU24DRAFT_416069,ML978066,75105,76171,0.00010941313
gene:BU24DRAFT_456447,gene:BU24DRAFT_456447,ML978066,76412,77295,6.716745e-05
gene:BU24DRAFT_382221,gene:BU24DRAFT_382221,ML978066,77590,80107,8.854613e-05
gene:BU24DRAFT_352,gene:BU24DRAFT_352,ML978066,80214,81408,7.474622e-05
gene:BU24DRAFT_416073,gene:BU24DRAFT_416073,ML978066,82431,84549,4.96436e-05
gene:BU24DRAFT_456451,gene:BU24DRAFT_456451,ML978066,84721,85305,5.3574753e-05
gene:BU24DRAFT_360792,gene:BU24DRAFT_360792,ML978066,87137,89015,8.332227e-05
gene:BU24DRAFT_338955,gene:BU24DRAFT_338955,ML978066,89513,92598,0.00010960896
gene:BU24DRAFT_413,gene:BU24DRAFT_413,ML978066,92747,94973,6.270997e-05
gene:BU24DRAFT_416076,gene:BU24DRAFT_416076,ML978066,99985,101978,7.1378745e-05
gene:BU24DRAFT_463,gene:BU24DRAFT_463,ML978066,105050,106619,9.418859e-05
gene:BU24DRAFT_469155,gene:BU24DRAFT_469155,ML978066,106511,108438,4.169353e-05
gene:BU24DRAFT_416080,gene:BU24DRAFT_416080,ML978066,108613,109410,8.514329e-05
gene:BU24DRAFT_382242,gene:BU24DRAFT_382242,ML978066,109332,110744,5.7769692e-05
gene:BU24DRAFT_456460,gene:BU24DRAFT_456460,ML978066,111631,112068,9.5901836e-05
gene:BU24DRAFT_456461,gene:BU24DRAFT_456461,ML978066,113303,113750,0.00017155801
gene:BU24DRAFT_416084,gene:BU24DRAFT_416084,ML978066,113945,115562,0.00013296951
gene:BU24DRAFT_416085,gene:BU24DRAFT_416085,ML978066,115517,116259,0.00014276581
